Density_10_Conflicts,Density_10_Intrusions,Density_11_Conflicts,Density_11_Intrusions,Density_12_Conflicts,Density_12_Intrusions,Density_13_Conflicts,Density_13_Intrusions,Density_14_Conflicts,Density_14_Intrusions,Density_15_Conflicts,Density_15_Intrusions,Density_16_Conflicts,Density_16_Intrusions,Density_17_Conflicts,Density_17_Intrusions,Density_18_Conflicts,Density_18_Intrusions,Density_19_Conflicts,Density_19_Intrusions,Density_20_Conflicts,Density_20_Intrusions,Density_21_Conflicts,Density_21_Intrusions,Density_22_Conflicts,Density_22_Intrusions,Density_23_Conflicts,Density_23_Intrusions,Density_24_Conflicts,Density_24_Intrusions,Density_25_Conflicts,Density_25_Intrusions,Density_26_Conflicts,Density_26_Intrusions,Density_27_Conflicts,Density_27_Intrusions,Density_28_Conflicts,Density_28_Intrusions,Density_29_Conflicts,Density_29_Intrusions,Density_30_Conflicts,Density_30_Intrusions
False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,True,True,True,True,False,True,True,True,False,False,True,True,True,False
False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,False,True,False,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,True,True,False,True,True,False,True,True
False,False,False,False,True,True,True,True,False,False,True,False,True,False,False,True,True,True,False,False,True,True,False,False,True,True,True,True,True,False,False,False,True,False,True,False,True,False,False,True,False,True
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,False,True,False,False,True,False,True,True,True,True,True,True,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,True,True,False,True,False,True,True,True,False,False,True,True,False,True,False,True,False
False,False,True,True,False,False,True,False,True,False,False,True,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,False,True,False,True,False,True,False
False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False,True,False,True,False,False,True,True,True,False,False,True,False,True,False,True,False,False,True,True
False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,False,True,True
False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,True,True,True,True
False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,True,True,True,True,True,False,True,True
True,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True
False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True
False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,False,False,False,True,True,True,True
False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,False,True,True,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,True
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,True,False,True,True,True,True,True,True,False,True,True
False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True,True,False,False,False,True,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True
False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False,False,False,True,False,True,True,True,False,True,False,True,True,True,True,True
False,False,True,False,False,True,True,True,False,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True
False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,True,False,True,False,True,True,False,False,False,True,False,True,False,False,True,True,True,False,True,False,True,True,False,True,False,True
