Episode,conflicts,targets_reached,episode_length,total_drift,restricted_intrusions
0,0,10,60,111.58212190600646,0
1,0,10,55,98.74146298661893,0
2,0,10,53,82.14254787202385,0
3,0,10,48,51.3478941378224,0
4,4,10,60,158.9412950122874,0
5,0,10,58,66.64716809232729,0
6,0,10,54,44.10579834811668,1
7,0,9,60,88.30600589953204,0
8,0,10,60,102.1726512091818,0
9,0,9,60,59.68714250629315,0
10,0,8,60,106.63338100862191,0
11,0,7,60,149.37781855114827,0
12,0,8,60,174.16179563696844,0
13,0,10,58,79.61121306534508,2
14,0,10,59,113.18779620527836,0
15,0,10,59,101.69948895462586,0
16,0,10,59,77.55903927147135,0
17,0,8,60,123.13943786897322,0
18,0,10,48,54.68394756345293,1
19,0,10,56,55.432034163291775,0
20,0,9,60,114.564387012801,0
21,0,10,60,74.40219424890509,0
22,0,10,57,69.86565813453532,0
23,0,8,60,122.40749159683644,0
24,0,10,51,80.49908178859938,0
25,0,8,60,105.87206397711523,0
26,0,7,60,177.46318463246078,0
27,4,8,60,208.9816571743158,1
28,0,9,60,83.39284906656029,0
29,0,9,60,140.68876903470178,1
30,0,9,60,78.04335516714738,0
31,0,10,51,63.08216653068025,0
32,2,8,60,132.00397860901944,0
33,0,10,54,57.32654055419774,0
34,0,9,60,76.64962206445895,0
35,2,10,60,166.41212241408022,1
36,2,9,60,175.89330076641457,0
37,0,10,54,76.75142545662456,0
38,0,9,60,56.62332210192105,0
39,2,10,49,62.82720262682838,0
40,0,10,54,76.69223845712231,0
41,2,8,60,198.05089401741643,0
42,0,8,60,147.88681287474597,0
43,0,10,60,84.46219628582227,0
44,0,10,56,92.22820379170676,0
45,0,10,45,54.261364877913685,0
46,0,10,52,93.54683278126086,2
47,0,10,56,86.1132489014011,0
48,0,9,60,81.27253094301852,0
49,0,10,57,86.57617604304782,0
50,0,9,60,98.22366396471588,0
51,0,10,59,97.32991279902974,0
52,0,10,48,40.32586455512032,0
53,0,9,60,119.10308294573375,0
54,2,9,60,75.97697155721035,0
55,0,9,60,126.17110764054743,0
56,0,9,60,62.291185567226876,0
57,0,10,53,86.37579840306833,1
58,0,10,48,53.05263089099552,0
59,0,9,60,128.02861744457857,0
60,0,8,60,112.22422053515973,0
61,2,10,58,78.03114241120036,0
62,0,10,42,58.69874306925286,0
63,0,10,56,96.53298082320839,0
64,0,10,58,76.47293062598096,0
65,0,10,47,42.953118560844196,0
66,0,9,60,117.15380674545172,0
67,0,10,59,52.661928779315936,0
68,0,10,49,53.27834184602957,0
69,0,10,51,70.3347441549246,0
70,0,9,60,107.75458250539351,0
71,0,10,58,106.04037425728623,0
72,0,9,60,146.76657811470372,0
73,0,10,52,63.733648051185114,0
74,0,7,60,208.00275247454903,0
75,0,10,57,88.21423297526329,1
76,0,9,60,75.24625080674778,0
77,0,9,60,125.71963644332288,6
78,0,9,60,92.88912370860271,0
79,0,8,60,84.64687078795173,0
80,0,8,60,146.7085355448451,1
81,0,10,43,72.99494049947026,0
82,0,9,60,137.7449690203482,0
83,0,10,60,135.778974263874,0
84,0,10,59,115.63548210629662,0
85,0,10,59,111.3083350091815,0
86,0,10,46,68.02023363640568,0
87,0,10,57,66.90319665928448,0
88,0,10,55,80.9673909123487,0
89,0,8,60,107.25595776704398,0
90,0,7,60,141.92915665436797,0
91,0,10,53,78.54545022862379,0
92,0,10,58,134.91399294464162,0
93,0,10,47,31.21662372884578,0
94,0,9,60,105.82957016936588,0
95,0,10,51,89.51745349169973,0
96,0,10,53,51.12230836476535,0
97,0,6,60,235.45759138807915,0
98,2,10,56,161.4977688598364,1
99,0,10,55,93.2157803872116,0
100,0,7,60,136.61144448321193,0
101,0,10,44,62.306574119364974,0
102,0,10,55,104.62699920858869,0
103,0,10,59,80.57707043534413,0
104,0,10,60,101.88632499752212,0
105,2,9,60,164.97221467442623,0
106,0,8,60,118.61487781505758,0
107,0,10,54,81.92571899272133,0
108,2,9,60,131.44990650363349,0
109,0,8,60,87.49664274451823,0
110,0,10,60,114.98050777870172,1
111,0,8,60,165.05891181550737,2
112,0,9,60,103.22317215272776,0
113,2,9,60,125.53857468288788,0
114,0,9,60,144.94177518530162,0
115,0,10,55,99.82525467414798,0
116,0,9,60,128.70796114462598,0
117,0,9,60,62.38599411035473,0
118,0,9,60,62.54355057533875,0
119,0,9,60,98.74936437266277,0
120,0,9,60,78.85728054186671,0
121,0,10,42,49.11567335780356,0
122,0,9,60,85.40553631617105,0
123,0,10,59,89.29142386731579,0
124,0,9,60,70.16405947176965,0
125,0,10,57,112.4307406018426,0
126,0,10,49,79.20737900879148,0
127,0,9,60,127.61676416810526,0
128,2,9,60,118.38788655107224,0
129,0,8,60,105.22021847886364,0
130,0,10,56,122.4984326949986,0
131,0,10,55,96.36038817149247,0
132,0,8,60,116.4327770651578,0
133,0,9,60,69.56889777377502,0
134,0,9,60,155.5257182800557,0
135,0,10,45,76.47378485978182,0
136,0,7,60,106.14669535480681,0
137,0,10,52,76.72845501746798,0
138,0,9,60,67.49191636252775,0
139,0,10,53,59.7664221146201,0
140,0,8,60,75.16240962706591,0
141,0,9,60,142.63980891689465,0
142,0,10,50,85.76933092924045,0
143,0,8,60,172.8112227124353,0
144,0,10,39,86.43628397033558,0
145,0,10,52,70.92840152331192,0
146,0,10,56,77.91356934168715,1
147,0,9,60,66.12175404213494,1
148,0,8,60,129.1626780129109,0
149,0,10,48,47.27693251713956,0
150,0,10,55,99.85585447165751,0
151,0,10,60,57.13038598239442,0
152,0,10,56,86.57117669649288,1
153,0,9,60,82.5273960822057,0
154,0,10,49,81.55627372726806,1
155,0,10,51,101.84780928265475,0
156,4,9,60,123.50375089895253,0
157,0,10,48,52.307217400528565,0
158,0,10,59,77.21085962548771,0
159,0,9,60,85.14259636639174,0
160,2,10,56,118.66981888750695,1
161,0,9,60,113.36988553944163,0
162,0,9,60,82.21442521142347,3
163,0,9,60,211.3286346339545,1
164,0,10,52,70.4329971148612,0
165,0,10,60,118.73309024883113,0
166,0,10,54,92.46279020487577,0
167,0,10,55,80.84108526384037,0
168,0,9,60,71.34935420856581,0
169,0,10,55,82.06305645167467,1
170,0,10,57,62.82971819805463,0
171,0,10,51,67.34377164694132,0
172,0,10,41,43.21537114404423,0
173,0,10,56,97.1784135371944,0
174,0,10,52,117.555617369037,0
175,0,9,60,100.83886066453184,0
176,0,10,58,117.44457482808058,3
177,0,9,60,103.36853844159353,0
178,0,10,59,96.2676732844664,0
179,0,10,54,62.49224321454124,0
180,0,7,60,143.8043424776367,0
181,0,10,54,41.89946104696102,0
182,0,8,60,232.22696218597454,0
183,0,10,53,59.53763826308593,0
184,0,9,60,106.97448553530747,0
185,0,8,60,100.50917856796602,0
186,0,10,56,118.25623154761782,1
187,0,8,60,130.69150605472734,0
188,0,10,57,89.90686120458062,0
189,0,9,60,91.04919039695326,0
190,0,10,59,87.19517182830724,0
191,0,10,53,93.84663205586429,0
192,0,10,52,78.73706663350562,0
193,0,10,52,63.947991056028584,0
194,0,9,60,87.06554329202618,0
195,0,10,56,64.04803700414149,0
196,2,10,57,87.10527960033437,0
197,0,10,42,52.1849450276661,0
198,0,10,49,59.88591893318079,1
199,0,10,52,46.69111752019311,0
200,0,10,50,58.442315146692344,0
201,0,10,55,80.81998377125082,0
202,0,10,43,41.153405712934614,0
203,0,10,44,40.85446224579031,0
204,0,10,41,55.14251999439486,0
205,0,10,54,73.15750547392692,0
206,0,10,57,96.73946618822765,0
207,0,9,60,75.94545926763243,0
208,2,8,60,184.38307283252215,0
209,0,8,60,120.91818614751934,0
210,0,10,60,102.76209046561195,0
211,0,10,48,65.35009985963735,0
212,0,10,48,55.4637686673957,0
213,0,9,60,82.74519562736567,0
214,0,10,60,90.51430725903165,0
215,0,7,60,160.28811193912486,0
216,0,10,58,124.6854965469746,0
217,0,10,60,92.5662423275218,1
218,0,8,60,100.92201146063003,0
219,0,8,60,122.1594911766021,0
220,0,10,57,64.43141002850261,0
221,0,9,60,98.35781563859894,0
222,0,9,60,76.26036214440342,0
223,0,10,57,78.11814038455118,0
224,2,10,59,76.2795911140549,0
225,0,6,60,156.42029024405397,0
226,0,10,59,90.80104846396172,0
227,0,9,60,104.99934411171293,0
228,0,10,52,60.98237488665083,0
229,0,9,60,125.35280577609073,0
230,0,9,60,105.73308223792411,1
231,0,9,60,125.2693476254941,0
232,0,10,47,54.9329775877935,0
